9648000,322,SANSKRIT CORE,067,A2
9648000,002,HINDI ELECTIVE,073,A2
9648000,027,HISTORY,043,C2
9648000,028,POLITICAL SCIENCE,053,B2
9648000,030,ECONOMICS,053,C1
9648000,500,WORK EXPERIENCE,---,A1
9648000,502,PHY & HEALTH EDUCA,---,B1
9648000,503,GENERAL STUDIES,---,A2
9648000,Additional Subject
9648000,048,PHYSICAL EDUCATION,067,C1
9648000,"",Result: PASS,"",""
9648001,301,ENGLISH CORE,067,C1
9648001,002,HINDI ELECTIVE,073,A2
9648001,027,HISTORY,063,A2
9648001,028,POLITICAL SCIENCE,056,B2
9648001,030,ECONOMICS,068,B1
9648001,500,WORK EXPERIENCE,---,B1
9648001,502,PHY & HEALTH EDUCA,---,B2
9648001,503,GENERAL STUDIES,---,B2
9648001,Additional Subject
9648001,048,PHYSICAL EDUCATION,076,B2
9648001,"",Result: PASS,"",""
9648002,301,ENGLISH CORE,043,D1
9648002,002,HINDI ELECTIVE,064,B1
9648002,027,HISTORY,051,B2
9648002,028,POLITICAL SCIENCE,033,D2
9648002,030,ECONOMICS,051,C1
9648002,500,WORK EXPERIENCE,---,B1
9648002,502,PHY & HEALTH EDUCA,---,A2
9648002,503,GENERAL STUDIES,---,C1
9648002,Additional Subject
9648002,048,PHYSICAL EDUCATION,052,D2
9648002,"",Result: PASS,"",""
9648003,301,ENGLISH CORE,033,D2
9648003,002,HINDI ELECTIVE,049,C2
9648003,027,HISTORY,036,D2
9648003,028,POLITICAL SCIENCE,033,D2
9648003,030,ECONOMICS,041,C2
9648003,500,WORK EXPERIENCE,---,C1
9648003,502,PHY & HEALTH EDUCA,---,C1
9648003,503,GENERAL STUDIES,---,C2
9648003,Additional Subject
9648003,048,PHYSICAL EDUCATION,053,D2
9648003,"",Result: PASS,"",""
9648004,002,HINDI ELECTIVE,066,B1
9648004,027,HISTORY,051,B2
9648004,028,POLITICAL SCIENCE,033,D2
9648004,030,ECONOMICS,039,D1
9648004,048,PHYSICAL EDUCATION,062,C2
9648004,500,WORK EXPERIENCE,---,B1
9648004,502,PHY & HEALTH EDUCA,---,A1
9648004,503,GENERAL STUDIES,---,B2
9648004,Additional Subject
9648004,301,ENGLISH CORE,019 F,E
9648004,"",Result: PASS,"",""
9648005,301,ENGLISH CORE,056,C2
9648005,002,HINDI ELECTIVE,053,C1
9648005,027,HISTORY,044,C2
9648005,030,ECONOMICS,045,C2
9648005,048,PHYSICAL EDUCATION,059,D1
9648005,500,WORK EXPERIENCE,---,D1
9648005,502,PHY & HEALTH EDUCA,---,C1
9648005,503,GENERAL STUDIES,---,C2
9648005,Additional Subject
9648005,028,POLITICAL SCIENCE,007 F,E
9648005,"",Result: PASS,"",""
9648006,002,HINDI ELECTIVE,042,D2
9648006,027,HISTORY,041,D1
9648006,028,POLITICAL SCIENCE,033,D2
9648006,030,ECONOMICS,039,D1
9648006,048,PHYSICAL EDUCATION,053,D2
9648006,500,WORK EXPERIENCE,---,B2
9648006,502,PHY & HEALTH EDUCA,---,A1
9648006,503,GENERAL STUDIES,---,C1
9648006,Additional Subject
9648006,301,ENGLISH CORE,016 F,E
9648006,"",Result: PASS,"",""
9648007,002,HINDI ELECTIVE,078,A1
9648007,027,HISTORY,063,A2
9648007,028,POLITICAL SCIENCE,063,B1
9648007,030,ECONOMICS,074,A2
9648007,048,PHYSICAL EDUCATION,078,B1
9648007,500,WORK EXPERIENCE,---,A1
9648007,502,PHY & HEALTH EDUCA,---,B1
9648007,503,GENERAL STUDIES,---,A2
9648007,Additional Subject
9648007,301,ENGLISH CORE,064,C1
9648007,"",Result: PASS,"",""
9648008,301,ENGLISH CORE,035,D2
9648008,002,HINDI ELECTIVE,053,C1
9648008,027,HISTORY,033,D2
9648008,030,ECONOMICS,041,C2
9648008,048,PHYSICAL EDUCATION,062,C2
9648008,500,WORK EXPERIENCE,---,C2
9648008,502,PHY & HEALTH EDUCA,---,D2
9648008,503,GENERAL STUDIES,---,C1
9648008,Additional Subject
9648008,028,POLITICAL SCIENCE,012 F,E
9648008,"",Result: PASS,"",""
9648009,301,ENGLISH CORE,043,D1
9648009,002,HINDI ELECTIVE,059,B2
9648009,027,HISTORY,049,C1
9648009,028,POLITICAL SCIENCE,034,D1
9648009,030,ECONOMICS,040,D1
9648009,500,WORK EXPERIENCE,---,B1
9648009,502,PHY & HEALTH EDUCA,---,B1
9648009,503,GENERAL STUDIES,---,B2
9648009,Additional Subject
9648009,048,PHYSICAL EDUCATION,063,C2
9648009,"",Result: PASS,"",""
9648010,301,ENGLISH CORE,033,D2
9648010,002,HINDI ELECTIVE,046,D1
9648010,027,HISTORY,037,D2
9648010,030,ECONOMICS,033,D2
9648010,048,PHYSICAL EDUCATION,053,D2
9648010,500,WORK EXPERIENCE,---,D1
9648010,502,PHY & HEALTH EDUCA,---,C1
9648010,503,GENERAL STUDIES,---,C2
9648010,Additional Subject
9648010,028,POLITICAL SCIENCE,008 F,E
9648010,"",Result: PASS,"",""
9648011,301,ENGLISH CORE,033,D2
9648011,002,HINDI ELECTIVE,052,C1
9648011,027,HISTORY,041,D1
9648011,028,POLITICAL SCIENCE,037,D1
9648011,030,ECONOMICS,043,C2
9648011,500,WORK EXPERIENCE,---,A2
9648011,502,PHY & HEALTH EDUCA,---,B1
9648011,503,GENERAL STUDIES,---,B1
9648011,Additional Subject
9648011,048,PHYSICAL EDUCATION,056,D1
9648011,"",Result: PASS,"",""
9648012,301,ENGLISH CORE,050,D1
9648012,002,HINDI ELECTIVE,056,C1
9648012,027,HISTORY,057,B1
9648012,028,POLITICAL SCIENCE,034,D1
9648012,030,ECONOMICS,033,D2
9648012,500,WORK EXPERIENCE,---,A1
9648012,502,PHY & HEALTH EDUCA,---,A2
9648012,503,GENERAL STUDIES,---,A2
9648012,Additional Subject
9648012,048,PHYSICAL EDUCATION,064,C2
9648012,"",Result: PASS,"",""
9648013,301,ENGLISH CORE,035,D2
9648013,002,HINDI ELECTIVE,075,A2
9648013,027,HISTORY,055,B1
9648013,028,POLITICAL SCIENCE,054,B2
9648013,030,ECONOMICS,043,C2
9648013,500,WORK EXPERIENCE,---,A2
9648013,502,PHY & HEALTH EDUCA,---,A2
9648013,503,GENERAL STUDIES,---,B1
9648013,Additional Subject
9648013,048,PHYSICAL EDUCATION,075,B2
9648013,"",Result: PASS,"",""
9648014,301,ENGLISH CORE,033,D2
9648014,002,HINDI ELECTIVE,062,B1
9648014,027,HISTORY,036,D2
9648014,028,POLITICAL SCIENCE,036,D1
9648014,030,ECONOMICS,047,C1
9648014,500,WORK EXPERIENCE,---,A1
9648014,502,PHY & HEALTH EDUCA,---,A2
9648014,503,GENERAL STUDIES,---,B1
9648014,Additional Subject
9648014,048,PHYSICAL EDUCATION,071,C1
9648014,"",Result: PASS,"",""
9648015,301,ENGLISH CORE,052,C2
9648015,002,HINDI ELECTIVE,084,A1
9648015,027,HISTORY,058,B1
9648015,028,POLITICAL SCIENCE,048,C1
9648015,048,PHYSICAL EDUCATION,075,B2
9648015,500,WORK EXPERIENCE,---,B1
9648015,502,PHY & HEALTH EDUCA,---,B2
9648015,503,GENERAL STUDIES,---,C2
9648015,Additional Subject
9648015,039,SOCIOLOGY,064,B1
9648015,"",Result: PASS,"",""
9648016,301,ENGLISH CORE,033,D2
9648016,002,HINDI ELECTIVE,054,C1
9648016,027,HISTORY,053,B2
9648016,030,ECONOMICS,047,C1
9648016,048,PHYSICAL EDUCATION,063,C2
9648016,500,WORK EXPERIENCE,---,D2
9648016,502,PHY & HEALTH EDUCA,---,C2
9648016,503,GENERAL STUDIES,---,C2
9648016,Additional Subject
9648016,028,POLITICAL SCIENCE,012 F,E
9648016,"",Result: PASS,"",""
9648017,301,ENGLISH CORE,043,D1
9648017,002,HINDI ELECTIVE,071,A2
9648017,027,HISTORY,050,B2
9648017,028,POLITICAL SCIENCE,067,A2
9648017,030,ECONOMICS,039,D1
9648017,500,WORK EXPERIENCE,---,C1
9648017,502,PHY & HEALTH EDUCA,---,D1
9648017,503,GENERAL STUDIES,---,C2
9648017,Additional Subject
9648017,048,PHYSICAL EDUCATION,071,C1
9648017,"",Result: PASS,"",""
9648018,301,ENGLISH CORE,045,D1
9648018,002,HINDI ELECTIVE,043,D1
9648018,027,HISTORY,045,C2
9648018,028,POLITICAL SCIENCE,033,D2
9648018,030,ECONOMICS,046,C1
9648018,500,WORK EXPERIENCE,---,C1
9648018,502,PHY & HEALTH EDUCA,---,D2
9648018,503,GENERAL STUDIES,---,C2
9648018,Additional Subject
9648018,048,PHYSICAL EDUCATION,053,D2
9648018,"",Result: PASS,"",""
9648019,301,ENGLISH CORE,033,D2
9648019,002,HINDI ELECTIVE,048,C2
