5782000,044,BIOLOGY,031FT,E,false
5782000,"",Result: COMP,"","",false
5782001,048,PHYSICAL EDUCATION,044FT,E,false
5782001,"",Result: COMP,"","",false
5782002,302,HINDI CORE,073,B2,false
5782002,042,PHYSICS,051,D2,false
5782002,043,CHEMISTRY,058,D1,false
5782002,044,BIOLOGY,058,D1,false
5782002,048,PHYSICAL EDUCATION,051,D2,false
5782002,"",Result: PASS,"","",false
5782003,044,BIOLOGY,"","",false
5782003,"",Result: ABST,"","",false
5782004,041,MATHEMATICS,004F,E,false
5782004,"",Result: COMP,"","",false
5782005,301,ENGLISH CORE,"","",false
5782005,042,PHYSICS,"","",false
5782005,043,CHEMISTRY,"","",false
5782005,041,MATHEMATICS,"","",false
5782005,048,PHYSICAL EDUCATION,"","",false
5782005,"",Result: ABST,"","",false
5782006,301,ENGLISH CORE,055,C2,false
5782006,034,MUSIC HIND.VOCAL,094,A2,false
5782006,041,MATHEMATICS,009F,E,false
5782006,043,CHEMISTRY,042FT,E,false
5782006,048,PHYSICAL EDUCATION,067,C1,false
5782006,"",Result: XXXX,"","",false
5782007,301,ENGLISH CORE,073,B2,false
5782007,034,MUSIC HIND.VOCAL,092,B1,false
5782007,042,PHYSICS,039FT,E,false
5782007,043,CHEMISTRY,038FT,E,false
5782007,048,PHYSICAL EDUCATION,077,B1,false
5782007,"",Result: XXXX,"","",false
5782008,042,PHYSICS,037FT,E,false
5782008,"",Result: XXXX,"","",false
5782009,042,PHYSICS,059,C1,false
5782009,"",Result: XXXX,"","",false
5782010,041,MATHEMATICS,013F,E,false
5782010,"",Result: XXXX,"","",false
5782011,043,CHEMISTRY,"","",false
5782011,"",Result: ABST,"","",false
5782012,041,MATHEMATICS,043,D1,false
5782012,"",Result: XXXX,"","",false
5782013,043,CHEMISTRY,037FT,E,false
5782013,"",Result: XXXX,"","",false
5782014,041,MATHEMATICS,061,B2,false
5782014,"",Result: XXXX,"","",false
5782015,041,MATHEMATICS,043,D1,false
5782015,"",Result: XXXX,"","",false
5782016,301,ENGLISH CORE,059,C2,false
5782016,041,MATHEMATICS,033,D2,false
5782016,042,PHYSICS,057,C2,false
5782016,043,CHEMISTRY,066,C1,false
5782016,048,PHYSICAL EDUCATION,076,B2,false
5782016,"",Result: PASS,"","",false
5782017,301,ENGLISH CORE,067,C1,false
5782017,041,MATHEMATICS,044,C2,false
5782017,042,PHYSICS,052,D1,false
5782017,043,CHEMISTRY,067,C1,false
5782017,048,PHYSICAL EDUCATION,069,C1,false
5782017,"",Result: PASS,"","",false
5782018,041,MATHEMATICS,022F,E,false
5782018,042,PHYSICS,052,D1,false
5782018,043,CHEMISTRY,071,B2,false
5782018,"",Result: XXXX,"","",false
5782019,301,ENGLISH CORE,058,C2,false
5782019,041,MATHEMATICS,067,B1,false
5782019,042,PHYSICS,072,B1,false
5782019,043,CHEMISTRY,074,B2,false
5782019,048,PHYSICAL EDUCATION,089,A1,false
5782019,"",Result: XXXX,"","",false
5782020,301,ENGLISH CORE,061,C1,false
5782020,055,ACCOUNTANCY,054,C2,false
5782020,154,BUSINESS STUDIES,061,C1,false
5782020,030,ECONOMICS,033,D2,false
5782020,048,PHYSICAL EDUCATION,063,C2,false
5782020,083,COMPUTER SCIENCE,051,D2,true
5782020,"",Result: PASS,"","",true
5782021,301,ENGLISH CORE,075,B2,false
5782021,048,PHYSICAL EDUCATION,093,A1,false
5782021,042,PHYSICS,060,C1,false
5782021,043,CHEMISTRY,074,B2,false
5782021,041,MATHEMATICS,061,B2,false
5782021,"",Result: XXXX,"","",false
5782022,301,ENGLISH CORE,058,C2,false
5782022,083,COMPUTER SCIENCE,041FT,E,false
5782022,041,MATHEMATICS,017F,E,false
5782022,042,PHYSICS,052,D1,false
5782022,043,CHEMISTRY,036FT,E,false
5782022,"",Result: FAIL,"","",false
5782023,301,ENGLISH CORE,073,B2,false
5782023,048,PHYSICAL EDUCATION,084,A2,false
5782023,042,PHYSICS,050,D2,false
5782023,043,CHEMISTRY,049,D2,false
5782023,041,MATHEMATICS,033,D2,false
5782023,"",Result: PASS,"","",false
5782024,042,PHYSICS,054,D1,false
5782024,"",Result: PASS,"","",false
5782025,048,PHYSICAL EDUCATION,"","",false
5782025,"",Result: ABST,"","",false
5782026,301,ENGLISH CORE,ABA,E,false
5782026,041,MATHEMATICS,022F,E,false
5782026,042,PHYSICS,027FT,E,false
5782026,043,CHEMISTRY,024FT,E,false
5782026,083,COMPUTER SCIENCE,027FT,E,false
5782026,"",Result: XXXX,"","",false
5782027,301,ENGLISH CORE,057,C2,false
5782027,030,ECONOMICS,041,C2,false
5782027,054,BUSINESS STUDIES,054,C2,false
5782027,055,ACCOUNTANCY,055,C2,false
5782027,067,MULTIMEDIA & WEB T,057,D1,false
5782027,500,WORK EXPERIENCE,---,A2,false
5782027,502,PHY & HEALTH EDUCA,---,C1,false
5782027,503,GENERAL STUDIES,---,B1,false
5782027,"",Result: PASS,"","",false
5782028,301,ENGLISH CORE,069,B2,false
5782028,041,MATHEMATICS,043,D1,false
5782028,042,PHYSICS,062,C1,false
5782028,043,CHEMISTRY,053,D2,false
5782028,048,PHYSICAL EDUCATION,088,A1,false
5782028,500,WORK EXPERIENCE,---,C2,false
5782028,502,PHY & HEALTH EDUCA,---,D2,false
5782028,503,GENERAL STUDIES,---,B1,false
5782028,"",Result: PASS,"","",false
5782029,301,ENGLISH CORE,067,C1,false
5782029,030,ECONOMICS,052,C1,false
5782029,054,BUSINESS STUDIES,074,B2,false
5782029,055,ACCOUNTANCY,056,C1,false
5782029,067,MULTIMEDIA & WEB T,061,C2,false
5782029,500,WORK EXPERIENCE,---,C2,false
5782029,502,PHY & HEALTH EDUCA,---,D1,false
5782029,503,GENERAL STUDIES,---,C2,false
5782029,"",Result: PASS,"","",false
5782030,301,ENGLISH CORE,053,C2,false
5782030,030,ECONOMICS,007F,E,false
5782030,054,BUSINESS STUDIES,046,D1,false
5782030,055,ACCOUNTANCY,045,D1,false
5782030,067,MULTIMEDIA & WEB T,055,D1,false
5782030,500,WORK EXPERIENCE,---,B1,false
5782030,502,PHY & HEALTH EDUCA,---,B1,false
5782030,503,GENERAL STUDIES,---,A2,false
5782030,"",Result: COMP,"","",false
5782031,301,ENGLISH CORE,071,B2,false
5782031,041,MATHEMATICS,045,C2,false
5782031,042,PHYSICS,056,C2,false
5782031,043,CHEMISTRY,051,D2,false
5782031,030,ECONOMICS,045,C2,false
5782031,500,WORK EXPERIENCE,---,C2,false
5782031,502,PHY & HEALTH EDUCA,---,C2,false
5782031,503,GENERAL STUDIES,---,A2,false
5782031,"",Result: PASS,"","",false
5782032,301,ENGLISH CORE,084,A2,false
5782032,030,ECONOMICS,071,B1,false
5782032,054,BUSINESS STUDIES,081,B1,false
5782032,055,ACCOUNTANCY,059,C1,false
5782032,041,MATHEMATICS,044,C2,false
5782032,500,WORK EXPERIENCE,---,C2,false
5782032,502,PHY & HEALTH EDUCA,---,D1,false
5782032,503,GENERAL STUDIES,---,B1,false
5782032,"",Result: PASS,"","",false
5782033,301,ENGLISH CORE,070,B2,false
5782033,030,ECONOMICS,070,B1,false
5782033,054,BUSINESS STUDIES,092,A2,false
5782033,055,ACCOUNTANCY,063,B2,false
5782033,041,MATHEMATICS,033,D2,false
5782033,500,WORK EXPERIENCE,---,C2,false
5782033,502,PHY & HEALTH EDUCA,---,D2,false
5782033,503,GENERAL STUDIES,---,D1,false
5782033,"",Result: PASS,"","",false
5782034,041,MATHEMATICS,043,D1,false
5782034,"",Result: XXXX,"","",false
